POPULATION,AREA,OCCUPANCY,CAPACITY,Min_Temp_C,Max_Temp_C,Unemployment_Rate
28345,1.4,122,124,-7.9,0.7,5.0
20840,2.6,97,97,-7.9,0.7,5.0
16310,1.4,51,51,-7.9,0.7,5.0
43365,7.6,50,50,-7.9,0.7,5.0
17955,7.3,40,40,-7.9,0.7,5.0
15005,2.9,31,33,-7.9,0.7,5.0
17825,0.4,14,16,-7.9,0.7,5.0
28345,1.4,61,63,-7.9,0.7,5.0
28345,1.4,45,45,-7.9,0.7,5.0
14685,5.9,70,70,-7.9,0.7,5.0
10010,0.6,98,100,-7.9,0.7,5.0
17050,3.6,90,90,-7.9,0.7,5.0
34365,3.7,30,30,-7.9,0.7,5.0
17050,3.6,364,377,-7.9,0.7,5.0
21000,3.1,85,88,-7.9,0.7,5.0
9855,1.5,45,45,-7.9,0.7,5.0
11565,1.7,40,40,-7.9,0.7,5.0
13985,1.7,88,91,-7.9,0.7,5.0
13735,1.4,12,12,-7.9,0.7,5.0
25640,9.6,21,22,-7.9,0.7,5.0
26550,6.9,40,40,-7.9,0.7,5.0
28345,1.4,44,44,-7.9,0.7,5.0
16425,4.1,30,30,-7.9,0.7,5.0
17825,0.4,66,66,-7.9,0.7,5.0
16310,1.4,50,50,-7.9,0.7,5.0
16310,1.4,410,470,-7.9,0.7,5.0
14015,2.6,103,103,-7.9,0.7,5.0
21000,3.1,62,64,-7.9,0.7,5.0
16310,1.4,120,120,-7.9,0.7,5.0
16310,1.4,360,363,-7.9,0.7,5.0
14075,1.7,60,60,-7.9,0.7,5.0
10140,3.4,45,45,-7.9,0.7,5.0
7790,1.4,72,72,-7.9,0.7,5.0
29180,2.8,22,27,-7.9,0.7,5.0
28345,1.4,34,35,-7.9,0.7,5.0
25640,9.6,109,106,-7.9,0.7,5.0
18500,1.5,40,40,-7.9,0.7,5.0
29180,2.8,23,25,-7.9,0.7,5.0
20635,4.6,62,62,-7.9,0.7,5.0
29180,2.8,50,50,-7.9,0.7,5.0
32790,4.6,53,53,-7.9,0.7,5.0
24775,7.4,50,51,-7.9,0.7,5.0
7790,1.4,1300,1466,-9.8,3.4,5.0
34635,3.7,124,124,-9.8,3.4,5.0
29180,2.8,69,76,-9.8,3.4,5.0
27870,7.4,316,362,-9.8,3.4,5.0
34650,14.9,24,28,-9.8,3.4,5.0
26550,9.6,427,460,-9.8,3.4,5.0
21000,3.1,177,177,-9.8,3.4,5.0
16310,1.4,111,90,-9.8,3.4,5.0
16615,3.1,88,89,-9.8,3.4,5.0
16310,1.4,506,512,-9.8,3.4,5.0
43365,7.6,33,42,-9.8,3.4,5.0
18500,1.5,177,181,-9.8,3.4,5.0
21075,2.2,56,56,-9.8,3.4,5.0
28345,1.4,122,124,-9.8,3.4,5.0
20840,2.6,96,97,-9.8,3.4,5.0
16310,1.4,51,51,-9.8,3.4,5.0
43365,7.6,50,50,-9.8,3.4,5.0
17955,7.3,39,40,-9.8,3.4,5.0
15005,2.9,32,33,-9.8,3.4,5.0
17825,0.4,14,16,-9.8,3.4,5.0
28345,1.4,61,63,-9.8,3.4,5.0
28345,1.4,41,45,-9.8,3.4,5.0
14685,5.9,70,70,-9.8,3.4,5.0
10010,0.6,100,100,-9.8,3.4,5.0
17050,3.6,90,90,-9.8,3.4,5.0
34365,3.7,30,30,-9.8,3.4,5.0
17050,3.6,363,377,-9.8,3.4,5.0
21000,3.1,85,88,-9.8,3.4,5.0
9855,1.5,43,45,-9.8,3.4,5.0
11565,1.7,40,40,-9.8,3.4,5.0
13985,1.7,88,91,-9.8,3.4,5.0
13735,1.4,12,12,-9.8,3.4,5.0
25640,9.6,21,22,-9.8,3.4,5.0
26550,6.9,40,40,-9.8,3.4,5.0
28345,1.4,44,44,-9.8,3.4,5.0
16425,4.1,30,30,-9.8,3.4,5.0
17825,0.4,66,66,-9.8,3.4,5.0
16310,1.4,49,50,-9.8,3.4,5.0
16310,1.4,407,470,-9.8,3.4,5.0
14015,2.6,103,103,-9.8,3.4,5.0
21000,3.1,62,64,-9.8,3.4,5.0
16310,1.4,120,120,-9.8,3.4,5.0
16310,1.4,357,363,-9.8,3.4,5.0
14075,1.7,60,60,-9.8,3.4,5.0
10140,3.4,45,45,-9.8,3.4,5.0
7790,1.4,72,72,-9.8,3.4,5.0
29180,2.8,22,27,-9.8,3.4,5.0
28345,1.4,33,35,-9.8,3.4,5.0
25640,9.6,109,106,-9.8,3.4,5.0
18500,1.5,40,40,-9.8,3.4,5.0
29180,2.8,23,25,-9.8,3.4,5.0
20635,4.6,62,62,-9.8,3.4,5.0
29180,2.8,50,50,-9.8,3.4,5.0
32790,4.6,53,53,-9.8,3.4,5.0
24775,7.4,50,51,-9.8,3.4,5.0
7790,1.4,1293,1466,3.3,7.6,5.0
34635,3.7,124,124,3.3,7.6,5.0
29180,2.8,69,76,3.3,7.6,5.0
27870,7.4,315,362,3.3,7.6,5.0
34650,14.9,24,28,3.3,7.6,5.0
26550,9.6,427,460,3.3,7.6,5.0
21000,3.1,177,177,3.3,7.6,5.0
16310,1.4,111,90,3.3,7.6,5.0
16615,3.1,88,89,3.3,7.6,5.0
16310,1.4,502,512,3.3,7.6,5.0
43365,7.6,35,42,3.3,7.6,5.0
18500,1.5,175,181,3.3,7.6,5.0
21075,2.2,56,56,3.3,7.6,5.0
28345,1.4,123,124,3.3,7.6,5.0
20840,2.6,97,97,3.3,7.6,5.0
16310,1.4,51,51,3.3,7.6,5.0
43365,7.6,50,50,3.3,7.6,5.0
17955,7.3,39,40,3.3,7.6,5.0
15005,2.9,31,33,3.3,7.6,5.0
17825,0.4,14,16,3.3,7.6,5.0
28345,1.4,61,63,3.3,7.6,5.0
28345,1.4,45,45,3.3,7.6,5.0
14685,5.9,70,70,3.3,7.6,5.0
10010,0.6,100,100,3.3,7.6,5.0
17050,3.6,90,90,3.3,7.6,5.0
34365,3.7,30,30,3.3,7.6,5.0
17050,3.6,364,377,3.3,7.6,5.0
21000,3.1,84,88,3.3,7.6,5.0
9855,1.5,43,45,3.3,7.6,5.0
11565,1.7,40,40,3.3,7.6,5.0
13985,1.7,89,91,3.3,7.6,5.0
13735,1.4,12,12,3.3,7.6,5.0
25640,9.6,21,22,3.3,7.6,5.0
26550,6.9,40,40,3.3,7.6,5.0
28345,1.4,42,44,3.3,7.6,5.0
16425,4.1,30,30,3.3,7.6,5.0
17825,0.4,65,66,3.3,7.6,5.0
16310,1.4,49,50,3.3,7.6,5.0
16310,1.4,409,470,3.3,7.6,5.0
14015,2.6,101,103,3.3,7.6,5.0
21000,3.1,61,64,3.3,7.6,5.0
16310,1.4,120,120,3.3,7.6,5.0
16310,1.4,361,363,3.3,7.6,5.0
14075,1.7,60,60,3.3,7.6,5.0
10140,3.4,45,45,3.3,7.6,5.0
7790,1.4,72,72,3.3,7.6,5.0
29180,2.8,22,27,3.3,7.6,5.0
28345,1.4,35,35,3.3,7.6,5.0
25640,9.6,104,106,3.3,7.6,5.0
18500,1.5,40,40,3.3,7.6,5.0
29180,2.8,23,25,3.3,7.6,5.0
20635,4.6,62,62,3.3,7.6,5.0
29180,2.8,50,50,3.3,7.6,5.0
32790,4.6,53,53,3.3,7.6,5.0
24775,7.4,50,51,3.3,7.6,5.0
7790,1.4,1286,1466,2.2,11.8,5.0
34635,3.7,124,124,2.2,11.8,5.0
29180,2.8,69,76,2.2,11.8,5.0
27870,7.4,316,362,2.2,11.8,5.0
34650,14.9,24,28,2.2,11.8,5.0
26550,9.6,425,460,2.2,11.8,5.0
21000,3.1,177,177,2.2,11.8,5.0
16310,1.4,111,90,2.2,11.8,5.0
16615,3.1,89,89,2.2,11.8,5.0
16310,1.4,508,512,2.2,11.8,5.0
43365,7.6,35,42,2.2,11.8,5.0
18500,1.5,174,181,2.2,11.8,5.0
21075,2.2,56,56,2.2,11.8,5.0
28345,1.4,123,124,2.2,11.8,5.0
20840,2.6,96,97,2.2,11.8,5.0
16310,1.4,51,51,2.2,11.8,5.0
43365,7.6,50,50,2.2,11.8,5.0
17955,7.3,39,40,2.2,11.8,5.0
15005,2.9,32,33,2.2,11.8,5.0
17825,0.4,14,16,2.2,11.8,5.0
28345,1.4,61,63,2.2,11.8,5.0
28345,1.4,45,45,2.2,11.8,5.0
14685,5.9,70,70,2.2,11.8,5.0
10010,0.6,99,100,2.2,11.8,5.0
17050,3.6,89,90,2.2,11.8,5.0
34365,3.7,29,30,2.2,11.8,5.0
17050,3.6,356,377,2.2,11.8,5.0
21000,3.1,84,88,2.2,11.8,5.0
9855,1.5,45,45,2.2,11.8,5.0
11565,1.7,40,40,2.2,11.8,5.0
13985,1.7,89,91,2.2,11.8,5.0
13735,1.4,12,12,2.2,11.8,5.0
25640,9.6,21,22,2.2,11.8,5.0
